COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,Number_of_Males_Fully_Vaccinated,Number_of_Females_Fully_Vaccinated,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Fully Vaccinated Children (5-17),Fully Vaccinated Adults (18+),Booster Dose Children (12-17),Booster Dose Adults (18+)
Germany,DEU,EURO,REPORTING,18/09/2022,185144577,64775678,222.6,77.887,51314883,13543808,64858691,77.986,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,6,52143826,62.645,42978645,21880046,27118501,25025325
Ghana,GHA,AFRO,REPORTING,18/09/2022,19340804,11471547,62.243,36.918,7862967,498873,8361840,26.91,"Gamaleya - Gam-Covid-Vac,SII - Covishield",02/03/2021,2,4806017,15.467,3635967,4725873,2236319,2569698
Gibraltar,GIB,EURO,OWID,21/04/2022,119855,42074,355.748,124.882,12531,28890,41421,122.944,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",05/03/2021,2,49170,145.944,33450,7971,38182,10988
Greece,GRC,EURO,REPORTING,18/09/2022,21448847,7909097,200.1,73.789,4374150,3357866,7732016,72.137,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,5902357,56.429,2814716,4917300,960463,4941894
Greenland,GRL,EURO,OWID,07/03/2022,79745,41243,140.465,72.647,31395,7107,38502,67.819,Moderna - mRNA-1273,15/02/2021,1,0,0,4618,33884,0,0
Grenada,GRD,AMRO,REPORTING,16/09/2022,90138,44050,80.106,39.148,29725,9111,38836,34.514,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",15/02/2021,4,7411,6.586,6234,32602,6573,838
Guadeloupe,GLP,AMRO,REPORTING,16/09/2022,385712,150077,96.398,37.508,36672,107524,144196,36.038,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",08/01/2021,7,89009,22.245,59023,85173,81005,8004
Guam,GUM,WPRO,REPORTING,23/08/2022,368088,155225,218.094,91.972,132126,8888,141014,83.551,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",04/01/2021,3,83603,49.535,67510,73504,48910,34693
Guatemala,GTM,AMRO,REPORTING,16/09/2022,19553871,8758252,109.145,48.886,1317829,5552252,6870081,38.347,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",25/02/2021,5,3719543,20.762,1343054,5527027,3418337,301206
Guernsey,GGY,EURO,OWID,12/07/2022,157708,49598,244.63,77.452,608,42815,43423,67.809,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",04/03/2021,3,69339,107.556,14126,29297,57061,12278
Guinea,GIN,AFRO,REPORTING,18/09/2022,7472471,5137173,56.899,39.117,2312954,581223,2894177,22.038,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",05/03/2021,6,425378,3.239,1625218,1268959,64659,360719
Guinea-Bissau,GNB,AFRO,REPORTING,18/09/2022,673091,640393,34.202,32.54,194142,210086,404228,20.54,"Beijing CNBG - BBIBP-CorV,SII - Covishield",02/04/2021,2,76359,3.88,204815,199413,37094,39265
Guyana,GUY,AMRO,REPORTING,16/09/2022,939589,490230,119.457,62.326,291519,84747,376266,47.837,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",11/02/2021,7,77874,9.901,317561,58705,20418,57456
Haiti,HTI,AMRO,REPORTING,16/09/2022,470964,361212,4.13,3.168,171226,51077,222303,1.95,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",19/01/2021,2,199234,54.325,73831,148472,70534,128700
Honduras,HND,AMRO,REPORTING,16/09/2022,15527895,6325371,156.774,63.863,754194,4845432,5599626,56.536,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",22/02/2021,6,4665196,47.101,5263267,336359,3435780,1229416
Hungary,HUN,EURO,REPORTING,18/09/2022,16469299,6353515,168.6,65.034,5760673,386121,6146794,62.918,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",23/12/2020,7,3868705,39.929,782752,5364042,2982852,885853
Iceland,ISL,EURO,REPORTING,28/08/2022,828071,307001,227.4,84.31,18534,279017,297551,81.715,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,254556,67.656,222216,75335,128581,125975
India,IND,SEARO,REPORTING,27/09/2022,2179427825,1024660313,157.929,74.251,742598150,205439502,948037652,68.698,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",16/01/2021,8,228815153,16.581,366868925,581168727,33155405,195659748
Indonesia,IDN,SEARO,REPORTING,26/09/2022,437867669,204114735,160.084,74.624,150580403,20126403,170706806,62.41,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",13/01/2021,7,69356250,25.357,138962494,31744312,65617717,3738533
Iran (Islamic Republic of),IRN,EMRO,REPORTING,26/09/2022,154418093,65043431,183.846,77.439,36244181,22187118,58431299,69.567,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",09/02/2021,12,28576234,34.022,32664666,25766633,25396467,3179767
Iraq,IRQ,EMRO,REPORTING,22/09/2022,19264920,11163251,47.896,27.754,7519165,332976,7852141,19.522,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",02/03/2021,10,275280,0.684,2237813,5614328,62702,212578
Ireland,IRL,EURO,REPORTING,18/09/2022,11615622,4039917,234,83.918,3212818,791912,4004730,80.668,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/12/2020,5,3058389,60.442,2153517,1851213,380372,2678017
Isle of Man,IMN,EURO,OWID,23/06/2022,189994,69560,223.438,81.804,8310,58796,67106,78.919,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",09/03/2021,3,53328,62.715,58422,8684,48614,4714
Israel,ISR,EURO,REPORTING,05/06/2022,15026951,7055466,173.6,81.514,5356676,1029055,6385731,73.776,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",16/12/2020,3,4474108,50.271,5625650,760081,3898329,575779
Italy,ITA,EURO,REPORTING,18/09/2022,139417799,50431965,233.8,84.563,37880363,9626340,47506703,79.654,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,44917500,76.092,28397721,19108982,36286919,8630581
Jamaica,JAM,AMRO,REPORTING,16/09/2022,1487460,831009,50.232,28.064,721076,8777,729853,24.647,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",10/03/2021,5,45995,1.553,332423,397430,33409,12586
Japan,JPN,WPRO,REPORTING,16/09/2022,321037169,104184141,253.832,82.374,43687846,59084569,102772415,81.258,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",17/02/2021,4,86596573,68.469,52282448,50489967,14805389,71791184
Jersey,JEY,EURO,OWID,25/09/2022,245039,84019,227.317,77.943,51957,29464,81421,75.532,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",29/12/2020,3,73662,68.335,15512,65909,49066,24596
Jordan,JOR,EMRO,REPORTING,21/08/2022,10057975,4821579,98.577,47.256,625823,3932490,4558313,44.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",13/01/2021,10,682211,6.686,4542777,15536,224386,457825
Kazakhstan,KAZ,EURO,REPORTING,11/09/2022,28534676,10962519,152,58.384,6190034,5365752,11555786,61.543,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",07/04/2021,5,6801526,35.431,9230301,2325485,4772310,2029216
Kenya,KEN,AFRO,REPORTING,18/09/2022,21281086,13460152,39.577,25.032,3876251,6109436,9985687,18.571,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",05/03/2021,5,2000636,3.721,1478731,8506956,383591,1617045
Kiribati,KIR,WPRO,REPORTING,19/08/2022,159883,82774,133.85,69.297,51471,11405,62876,52.638,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV",26/05/2021,2,37606,31.483,21667,41209,2088,35518
Kosovo,XKX,EURO,REPORTING,04/09/2022,1835336,904135,102.2,50.351,126147,698149,824296,45.905,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",31/03/2021,2,105624,5.927,702647,121649,80709,24915
Kuwait,KWT,EMRO,REPORTING,28/09/2022,8214656,3445141,192.355,80.672,174941,3162358,3337299,78.146,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",28/12/2020,10,1457544,34.13,3014692,322607,402549,1054995
Kyrgyzstan,KGZ,EURO,REPORTING,18/09/2022,2970097,1465468,45.5,22.462,1070554,225785,1296339,19.87,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac",31/03/2021,6,300818,4.608,938911,357428,285659,15159
Lao People's Democratic Republic,LAO,WPRO,REPORTING,18/08/2022,12121844,5901442,166.61,81.113,2107931,3130445,5238376,72,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",25/11/2020,8,2451034,33.689,3549189,1689187,1755585,695449
Latvia,LVA,EURO,REPORTING,18/09/2022,2847648,1303023,149.3,68.304,936839,334750,1271589,66.656,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/12/2020,5,550901,29.37,436523,835066,139166,411735
Lebanon,LBN,EMRO,REPORTING,26/09/2022,5778363,2727295,84.659,39.958,249107,2153819,2402926,35.205,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",14/02/2021,10,660249,9.673,1284647,1118279,176010,484239
Lesotho,LSO,AFRO,REPORTING,14/08/2022,1102069,1631364,51.444,76.152,688622,184039,872661,40.736,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10/03/2021,3,177816,8.3,156663,715998,54867,122949
Liberia,LBR,AFRO,REPORTING,18/09/2022,3657724,3634393,72.32,71.859,2791584,270641,3062225,60.546,SII - Covishield,01/04/2021,1,1987,0.039,2683351,378874,1211,776
Libya,LBY,EMRO,REPORTING,21/09/2022,3710544,2304757,54.001,33.542,517820,711225,1229045,17.887,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",11/04/2021,10,186729,2.718,737824,491221,28400,158329
Liechtenstein,LIE,OTHER,REPORTING,10/04/2022,71104,26681,183.5,68.86,20556,5790,26346,67.995,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",06/01/2021,3,18310,47.255,4997,21349,6869,11441
Lithuania,LTU,EURO,REPORTING,18/09/2022,4487030,1954306,160.6,70.098,94253,1810301,1904554,68.164,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,5,902114,32.149,1126884,777670,395958,506156
Luxembourg,LUX,EURO,REPORTING,18/09/2022,1310850,469350,209.4,74.963,209898,252788,462686,73.899,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/12/2020,5,368526,57.101,304758,157928,40866,327660
Madagascar,MDG,AFRO,REPORTING,18/09/2022,1871165,1579817,6.757,5.705,926001,589382,1515383,5.472,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",10/05/2021,3,169187,0.611,939124,576259,151426,17761
Malawi,MWI,AFRO,REPORTING,18/09/2022,4575245,3162840,23.917,16.533,835769,1542814,2378583,12.434,"Janssen - Ad26.COV 2-S,SII - Covishield",11/03/2021,2,1232829,6.444,1197915,1180668,1092444,140385
Malaysia,MYS,WPRO,REPORTING,18/09/2022,72105683,28098910,222.782,86.816,19714293,7789396,27503689,84.977,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/02/2021,8,16340805,50.488,12212983,15290706,14972912,1367893
Maldives,MDV,SEARO,REPORTING,26/09/2022,950888,399102,175.913,73.833,230189,154774,384963,71.218,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",01/02/2021,8,167289,30.948,19575,365388,163484,3805
Mali,MLI,AFRO,REPORTING,18/09/2022,3126178,2283516,15.437,11.276,176919,1566358,1743277,8.608,SII - Covishield,31/03/2021,1,876832,58.912,988109,755168,678205,198627
Malta,MLT,EURO,REPORTING,18/09/2022,1273308,450407,247.5,87.532,327398,117384,444782,86.439,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,4,352640,67.689,417152,27630,86547,266093
Marshall Islands,MHL,WPRO,REPORTING,26/08/2022,101728,43299,171.855,73.148,6257,29086,35343,59.707,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",29/12/2020,3,18559,31.353,3547,31796,678,17881
Martinique,MTQ,AMRO,REPORTING,16/09/2022,391311,149803,104.276,39.919,83294,61303,144597,38.532,Pfizer BioNTech - Comirnaty,02/02/2021,1,92919,24.761,48385,96212,6629,86290
Mauritania,MRT,AFRO,REPORTING,04/09/2022,3251620,2005049,69.932,43.123,19203,1404696,1423899,30.624,"Beijing CNBG - BBIBP-CorV,SII - Covishield",26/03/2021,2,383885,8.256,219101,1204798,152898,230987
Mauritius,MUS,AFRO,REPORTING,18/09/2022,2583907,1021934,203.174,80.355,282592,695136,977728,76.879,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",26/01/2021,3,654507,51.464,429321,548407,228661,425846
Mexico,MEX,AMRO,REPORTING,16/09/2022,209673612,97018292,162.622,75.247,34933465,45014005,79947470,62.007,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/12/2020,7,57014052,44.22,30743123,49204347,53581948,3432104
Micronesia (Federated States of),FSM,WPRO,REPORTING,20/08/2022,170346,70204,148.097,61.035,47855,18319,66174,57.531,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13/01/2021,4,30537,26.549,56917,9257,29381,1156
Monaco,MCO,EURO,REPORTING,02/01/2022,58294,23460,148.5,59.78,1841,21515,23356,59.515,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",30/06/2021,6,17806,48.536,14623,8733,15959,1847
Mongolia,MNG,WPRO,REPORTING,16/09/2022,5657340,2282141,172.57,69.614,279560,1903071,2182631,66.578,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",23/02/2021,6,1058839,32.299,250694,1931937,1033777,25062
Montenegro,MNE,EURO,REPORTING,11/09/2022,526467,272415,83.8,43.806,83391,170661,254052,40.853,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",24/02/2021,5,0,0,45335,208717,0,0
Montserrat,MSR,AMRO,REPORTING,16/09/2022,4544,2099,90.898,41.988,560,1375,1935,38.708,AstraZeneca - Vaxzevria,08/02/2021,1,563,11.262,762,1173,561,2
Morocco,MAR,EMRO,REPORTING,28/09/2022,55269802,25003222,149.74,67.74,16372436,7126903,23499339,63.666,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",28/01/2021,10,6884356,18.651,6205685,17293654,2933294,3951062
Mozambique,MOZ,AFRO,REPORTING,18/09/2022,19127825,13465329,61.198,43.082,5431210,7430686,12861896,41.151,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",08/03/2021,3,2323562,7.434,12250678,611218,863876,1459686
Myanmar,MMR,SEARO,REPORTING,18/06/2022,64549994,34777314,118.637,63.917,10620618,16924711,27545329,50.626,"Beijing CNBG - BBIBP-CorV,SII - Covishield",27/01/2021,2,15987381,29.383,24405507,3139822,1266338,14721043
Namibia,NAM,AFRO,REPORTING,18/09/2022,952713,587544,37.495,23.123,68668,445819,514487,20.248,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19/03/2021,4,298560,11.75,333814,180673,252061,46499
Nauru,NRU,WPRO,REPORTING,31/03/2022,22976,9464,212.073,87.355,245,8340,8585,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",09/04/2021,2,7705,71.119,6030,2555,7220,485
Nepal,NPL,SEARO,REPORTING,25/09/2022,57909436,27148456,198.75,93.176,18867458,3697772,22565230,77.446,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",27/01/2021,8,10256291,35.2,6968869,15596361,2866779,7389512
Netherlands,NLD,EURO,REPORTING,11/09/2022,36105753,12776868,207.4,73.398,5551029,6406123,11957152,68.689,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",06/01/2021,6,9416761,53.533,9686986,2270166,5871986,3544775
New Caledonia,NCL,WPRO,REPORTING,29/08/2022,465964,188411,163.211,65.994,105885,78574,184459,64.61,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",20/01/2021,2,103325,36.191,64476,119983,85252,18073
New Zealand,NZL,WPRO,REPORTING,16/09/2022,11746117,4257650,243.583,88.292,1761656,2334363,4096019,84.94,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",19/02/2021,4,2719283,56.391,1273498,2822521,1916185,803098
Nicaragua,NIC,AMRO,REPORTING,16/09/2022,11780033,6060697,177.824,91.488,2921101,2798235,5719336,86.335,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",03/03/2021,9,2892531,43.664,2863278,2856058,2435042,457489
Niger,NER,AFRO,REPORTING,11/09/2022,4534313,3740079,18.732,15.451,1998070,982902,2980972,12.315,"Beijing CNBG - BBIBP-CorV,SII - Covishield",29/03/2021,2,645781,45.98,1690051,1290921,338579,307202
Nigeria,NGA,AFRO,REPORTING,18/09/2022,70896744,46710345,34.393,22.66,21969616,11839046,33808662,16.401,SII - Covishield,05/03/2021,1,16647746,8.076,27861902,5946760,13295421,3352325
Niue,NIU,WPRO,REPORTING,02/08/2022,4180,1650,258.344,101.978,744,692,1436,88.752,Pfizer BioNTech - Comirnaty,08/06/2021,1,1225,75.711,1341,95,999,226
North Macedonia,MKD,EURO,REPORTING,11/09/2022,1861305,854279,89.3,41.145,411533,426285,837818,40.352,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",17/02/2021,7,161633,7.685,453371,384447,66716,94917
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,27/05/2022,110882,44814,192.647,77.86,43799,145,43944,76.349,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",19/12/2020,3,26121,45.383,42341,1603,10694,15427
Norway,NOR,EURO,REPORTING,18/09/2022,11384475,4343603,212.1,80.923,2679044,1378649,4057693,75.596,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",23/12/2020,4,3020434,55.673,2185227,1872466,2380712,639722
